package_id,pip_name,source_id,url,domain,source_family
PIP-0150,nvidia-cuda-nvrtc-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0150,nvidia-cuda-nvrtc-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0150,nvidia-cuda-nvrtc-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0151,nvidia-nvjitlink-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0151,nvidia-nvjitlink-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0151,nvidia-nvjitlink-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0152,nvidia-cublas-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0152,nvidia-cublas-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0152,nvidia-cublas-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0153,nvidia-cudnn-cu12,SRC-0040,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/windows.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0153,nvidia-cudnn-cu12,SRC-0295,https://pypi.org/project/nvidia-cudnn-cu12/,pypi.org,pypi_package_metadata
PIP-0153,nvidia-cudnn-cu12,SRC-0219,https://onnxruntime.ai/docs/execution-providers/CUDA-ExecutionProvider.html,onnxruntime.ai,onnx_runtime_docs
PIP-0153,nvidia-cudnn-cu12,SRC-0034,https://docs.nvidia.com/deeplearning/cudnn/backend/latest/api/overview.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0154,nvidia-cudnn-cu13,SRC-0040,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/windows.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0154,nvidia-cudnn-cu13,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0154,nvidia-cudnn-cu13,SRC-0015,https://developer.nvidia.com/cudnn-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0154,nvidia-cudnn-cu13,SRC-0219,https://onnxruntime.ai/docs/execution-providers/CUDA-ExecutionProvider.html,onnxruntime.ai,onnx_runtime_docs
PIP-0155,nvidia-cufft-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0155,nvidia-cufft-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0155,nvidia-cufft-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0156,nvidia-curand-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0156,nvidia-curand-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0156,nvidia-curand-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0157,nvidia-cusolver-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0157,nvidia-cusolver-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0157,nvidia-cusolver-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0158,nvidia-cusparse-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0158,nvidia-cusparse-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0158,nvidia-cusparse-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0159,nvidia-npp-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0159,nvidia-npp-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0159,nvidia-npp-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0160,nvidia-nvjpeg-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0160,nvidia-nvjpeg-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
