"source_path","file_name","extension","size_bytes","corpus","layer","lane_id","chapter","last_write_utc"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/README_VOL1.md","README_VOL1.md",".md","1516","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/RETRIEVAL_CARDS.jsonl","RETRIEVAL_CARDS.jsonl",".jsonl","7950","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/SOURCE_COVERAGE.md","SOURCE_COVERAGE.md",".md","916","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/vol1_lane_manifest.json","vol1_lane_manifest.json",".json","841","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/VOL1_SCOPE.md","VOL1_SCOPE.md",".md","983","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/CANONICAL_OVERVIEW.md","CANONICAL_OVERVIEW.md",".md","1669","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/CONCEPT_MAP.md","CONCEPT_MAP.md",".md","1526","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/EMBEDDING_AND_CHUNKING_STRATEGY.md","EMBEDDING_AND_CHUNKING_STRATEGY.md",".md","1470","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/GAP_AUDIT_AND_VOL2_QUEUE.md","GAP_AUDIT_AND_VOL2_QUEUE.md",".md","772","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/02_atlas_architecture_chunking_embedding/lane_profile.json","lane_profile.json",".json","1008","aiwf_atlas","canonical_lane","02_atlas_architecture_chunking_embedding","","2026-05-21T07:12:12.0000000Z"
